parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=carreir ultimaPalavraA=papel primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=10 primeiraPalavraA=desvi ultimaPalavraA=assunt primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=11 primeiraPalavraA=sai ultimaPalavraA=medic primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=12 primeiraPalavraA=estudant ultimaPalavraA=ministr primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=13 primeiraPalavraA=raza ultimaPalavraA=test primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=14 primeiraPalavraA=precis ultimaPalavraA=padilh primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=15 primeiraPalavraA=falt ultimaPalavraA=dign primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=16 primeiraPalavraA=ministr ultimaPalavraA=brasil primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=17 primeiraPalavraA=carreir ultimaPalavraA=papel primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=18 primeiraPalavraA=cheg ultimaPalavraA=brasileir primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=19 primeiraPalavraA=ministr ultimaPalavraA=feder primeiraPalavraB=imagin ultimaPalavraB=estrangeir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=imagin ultimaPalavraA=estrangeir primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=assunt ultimaPalavraA=pov primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=2 primeiraPalavraA=ministr ultimaPalavraA=par primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=ministr ultimaPalavraA=partid primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=reval ultimaPalavraA=europ primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=aut ultimaPalavraA=mentir primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=ministr ultimaPalavraA=brasil primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=ministr ultimaPalavraA=temp primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=dig ultimaPalavraA=trabalh primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=ministr ultimaPalavraA=politiqueir primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=10 primeiraPalavraA=carreir ultimaPalavraA=papel primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=11 primeiraPalavraA=desvi ultimaPalavraA=assunt primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=12 primeiraPalavraA=sai ultimaPalavraA=medic primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=13 primeiraPalavraA=estudant ultimaPalavraA=ministr primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=14 primeiraPalavraA=raza ultimaPalavraA=test primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=15 primeiraPalavraA=precis ultimaPalavraA=padilh primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=16 primeiraPalavraA=falt ultimaPalavraA=dign primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=17 primeiraPalavraA=ministr ultimaPalavraA=brasil primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=18 primeiraPalavraA=carreir ultimaPalavraA=papel primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=19 primeiraPalavraA=cheg ultimaPalavraA=brasileir primeiraPalavraB=mentir ultimaPalavraB=mentir mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=mentir ultimaPalavraA=mentir primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=imagin ultimaPalavraA=estrangeir primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=assunt ultimaPalavraA=pov primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=3 primeiraPalavraA=ministr ultimaPalavraA=par primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=ministr ultimaPalavraA=partid primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=reval ultimaPalavraA=europ primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=aut ultimaPalavraA=mentir primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=ministr ultimaPalavraA=brasil primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=ministr ultimaPalavraA=temp primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=dig ultimaPalavraA=trabalh primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=10 primeiraPalavraA=ministr ultimaPalavraA=politiqueir primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=11 primeiraPalavraA=carreir ultimaPalavraA=papel primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=12 primeiraPalavraA=desvi ultimaPalavraA=assunt primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=13 primeiraPalavraA=sai ultimaPalavraA=medic primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=14 primeiraPalavraA=estudant ultimaPalavraA=ministr primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=15 primeiraPalavraA=raza ultimaPalavraA=test primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=16 primeiraPalavraA=precis ultimaPalavraA=padilh primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=17 primeiraPalavraA=falt ultimaPalavraA=dign primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=18 primeiraPalavraA=ministr ultimaPalavraA=brasil primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=19 primeiraPalavraA=carreir ultimaPalavraA=papel primeiraPalavraB=é ultimaPalavraB=class mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=é ultimaPalavraA=class primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=mentir ultimaPalavraA=mentir primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=imagin ultimaPalavraA=estrangeir primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=assunt ultimaPalavraA=pov primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=ministr ultimaPalavraA=par primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=ministr ultimaPalavraA=partid primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=reval ultimaPalavraA=europ primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=aut ultimaPalavraA=mentir primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=ministr ultimaPalavraA=brasil primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=ministr ultimaPalavraA=temp primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=10 primeiraPalavraA=dig ultimaPalavraA=trabalh primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=11 primeiraPalavraA=ministr ultimaPalavraA=politiqueir primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=12 primeiraPalavraA=carreir ultimaPalavraA=papel primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=13 primeiraPalavraA=desvi ultimaPalavraA=assunt primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=14 primeiraPalavraA=sai ultimaPalavraA=medic primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=15 primeiraPalavraA=estudant ultimaPalavraA=ministr primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=16 primeiraPalavraA=raza ultimaPalavraA=test primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=17 primeiraPalavraA=precis ultimaPalavraA=padilh primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=18 primeiraPalavraA=falt ultimaPalavraA=dign primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=19 primeiraPalavraA=ministr ultimaPalavraA=brasil primeiraPalavraB=lingu ultimaPalavraB=ministr mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=0 primeiraPalavraA=lingu ultimaPalavraA=ministr primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=é ultimaPalavraA=class primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=mentir ultimaPalavraA=mentir primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=imagin ultimaPalavraA=estrangeir primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=assunt ultimaPalavraA=pov primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=ministr ultimaPalavraA=par primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=ministr ultimaPalavraA=partid primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=reval ultimaPalavraA=europ primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=aut ultimaPalavraA=mentir primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=ministr ultimaPalavraA=brasil primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=10 primeiraPalavraA=ministr ultimaPalavraA=temp primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=11 primeiraPalavraA=dig ultimaPalavraA=trabalh primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=12 primeiraPalavraA=ministr ultimaPalavraA=politiqueir primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=13 primeiraPalavraA=carreir ultimaPalavraA=papel primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=14 primeiraPalavraA=desvi ultimaPalavraA=assunt primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=15 primeiraPalavraA=sai ultimaPalavraA=medic primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=16 primeiraPalavraA=estudant ultimaPalavraA=ministr primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=17 primeiraPalavraA=raza ultimaPalavraA=test primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=18 primeiraPalavraA=precis ultimaPalavraA=padilh primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=19 primeiraPalavraA=falt ultimaPalavraA=dign primeiraPalavraB=necessit ultimaPalavraB=reval mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=necessit ultimaPalavraA=reval primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=lingu ultimaPalavraA=ministr primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=é ultimaPalavraA=class primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=mentir ultimaPalavraA=mentir primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=imagin ultimaPalavraA=estrangeir primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=assunt ultimaPalavraA=pov primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=ministr ultimaPalavraA=par primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=ministr ultimaPalavraA=partid primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=reval ultimaPalavraA=europ primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=aut ultimaPalavraA=mentir primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=10 primeiraPalavraA=ministr ultimaPalavraA=brasil primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=11 primeiraPalavraA=ministr ultimaPalavraA=temp primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=12 primeiraPalavraA=dig ultimaPalavraA=trabalh primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=13 primeiraPalavraA=ministr ultimaPalavraA=politiqueir primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=14 primeiraPalavraA=carreir ultimaPalavraA=papel primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=15 primeiraPalavraA=desvi ultimaPalavraA=assunt primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=16 primeiraPalavraA=sai ultimaPalavraA=medic primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=17 primeiraPalavraA=estudant ultimaPalavraA=ministr primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=18 primeiraPalavraA=raza ultimaPalavraA=test primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=19 primeiraPalavraA=precis ultimaPalavraA=padilh primeiraPalavraB=ministr ultimaPalavraB=internaut mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=ministr ultimaPalavraA=internaut primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=necessit ultimaPalavraA=reval primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=lingu ultimaPalavraA=ministr primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=é ultimaPalavraA=class primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=4 primeiraPalavraA=mentir ultimaPalavraA=mentir primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=5 primeiraPalavraA=imagin ultimaPalavraA=estrangeir primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=6 primeiraPalavraA=assunt ultimaPalavraA=pov primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=7 primeiraPalavraA=ministr ultimaPalavraA=par primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=8 primeiraPalavraA=ministr ultimaPalavraA=partid primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=9 primeiraPalavraA=reval ultimaPalavraA=europ primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=10 primeiraPalavraA=aut ultimaPalavraA=mentir primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=11 primeiraPalavraA=ministr ultimaPalavraA=brasil primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=12 primeiraPalavraA=ministr ultimaPalavraA=temp primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=13 primeiraPalavraA=dig ultimaPalavraA=trabalh primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=14 primeiraPalavraA=ministr ultimaPalavraA=politiqueir primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=15 primeiraPalavraA=carreir ultimaPalavraA=papel primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=16 primeiraPalavraA=desvi ultimaPalavraA=assunt primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=17 primeiraPalavraA=sai ultimaPalavraA=medic primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=18 primeiraPalavraA=estudant ultimaPalavraA=ministr primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=19 primeiraPalavraA=raza ultimaPalavraA=test primeiraPalavraB=invest ultimaPalavraB=estrutur mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=invest ultimaPalavraA=estrutur primeiraPalavraB=faz ultimaPalavraB=medicin mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=ministr ultimaPalavraA=internaut primeiraPalavraB=faz ultimaPalavraB=medicin mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=necessit ultimaPalavraA=reval primeiraPalavraB=faz ultimaPalavraB=medicin mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=3 primeiraPalavraA=lingu ultimaPalavraA=ministr primeiraPalavraB=faz ultimaPalavraB=medicin mensagemATemNomeB=false mensagemBTemNomeA=false ?
